u'Date', u'Time\nET', u'Statistic', u'For', u'Actual', u'Briefing Forecast', u'Market Expects', u'Prior', u'Revised\nFrom'
u'Mar 7', u'8:30 AM', u'Nonfarm Private Payrolls', u'Feb', u'162K', u'175K', u'170K', u'145K', u'142K'
u'Mar 7', u'8:30 AM', u'Unemployment Rate', u'Feb', u'6.7%', u'6.5%', u'6.6%', u'6.6%', u'-'
u'Mar 7', u'8:30 AM', u'Hourly Earnings', u'Feb', u'0.4%', u'0.1%', u'0.2%', u'0.2%', u'-'
u'Mar 7', u'8:30 AM', u'Average Workweek', u'Feb', u'34.2', u'34.5', u'34.4', u'34.3', u'34.4'
u'Mar 7', u'8:30 AM', u'Trade Balance', u'Jan', u'-$39.1B', u'-$37.0B', u'-$37.3B', u'-$39.0B', u'-$38.7B'
u'Mar 7', u'3:00 PM', u'Consumer Credit', u'Jan', u'$13.7B', u'$9.0B', u'$11.8B', u'$18.8B', u'-'
u'Mar 11', u'10:00 AM', u'Wholesale Inventories', u'Jan', u'0.6%', u'0.3%', u'0.4%', u'0.4%', u'0.3%'
u'Mar 11', u'10:00 AM', u'JOLTS - Job Openings', u'Jan', u'3.974M', u'NA', u'NA', u'3.914M', u'3.990M'
u'Mar 12', u'7:00 AM', u'MBA Mortgage Index', u'03/08', u'-2.1%', u'NA', u'NA', u'9.4%', u'-'
u'Mar 12', u'10:30 AM', u'Crude Inventories', u'03/08', u'6.18M', u'NA', u'NA', u'1.429M', u'-'
u'Mar 12', u'2:00 PM', u'Treasury Budget', u'Feb', u'-', u'-$195B', u'-$195B', u'-$203.5B', u'-'
u'Mar 13', u'8:30 AM', u'Initial Claims', u'03/08', u'315K', u'335K', u'329K', u'324K', u'323K'
u'Mar 13', u'8:30 AM', u'Continuing Claims', u'03/01', u'2855K', u'2950K', u'2925K', u'2903K', u'2907K'
u'Mar 13', u'8:30 AM', u'Retail Sales', u'Feb', u'0.3%', u'0.2%', u'0.2%', u'-0.6%', u'-0.4%'
u'Mar 13', u'8:30 AM', None, u'Feb', u'0.3%', u'0.2%', u'0.2%', u'-0.3%', u'0.0%'
u'Mar 13', u'8:30 AM', None, u'Feb', u'0.6%', u'NA', u'NA', u'0.2%', u'-'
u'Mar 13', u'8:30 AM', None, u'Feb', u'-0.2%', u'NA', u'NA', u'0.3%', u'-'
u'Mar 13', u'10:00 AM', u'Business Inventories', u'Jan', u'0.4%', u'0.3%', u'0.3%', u'0.5%', u'-'
u'Mar 13', u'10:30 AM', u'Natural Gas Inventories', u'03/08', u'-195 bcf', u'NA', u'NA', u'-152 bcf', u'-'
u'Mar 13', u'2:00 PM', u'Treasury Budget', u'Feb', u'-$193.5B', u'-$195B', u'-$195B', u'-$203.5B', u'-'
u'Mar 14', u'8:30 AM', u'PPI', u'Feb', u'-0.1%', u'0.2%', u'0.2%', u'0.2%', u'-'
u'Mar 14', u'8:30 AM', None, u'Feb', u'-0.2%', u'0.1%', u'0.1%', u'0.2%', u'-'
u'Mar 14', u'9:55 AM', u'Mich Sentiment', u'Mar', u'79.9', u'81.6', u'82.0', u'81.6', u'-'
u'Mar 17', u'8:30 AM', u'Empire Manufacturing', u'Mar', u'5.6', u'2.0', u'5.4', u'4.5', u'-'
u'Mar 17', u'9:00 AM', u'Net Long-Term TIC Flows', u'Jan', u'-', u'NA', u'NA', u'-$45.9B', u'-'
u'Mar 17', u'9:15 AM', u'Capacity Utilization', u'Feb', u'-', u'NA', u'NA', u'78.5%', u'-'
u'Mar 17', u'9:15 AM', u'Industrial Production', u'Feb', u'0.6%', u'-0.1%', u'0.1%', u'-0.2%', u'-0.3%'
u'Mar 17', u'9:15 AM', u'Capacity Utilization', u'Feb', u'78.8%', u'78.4%', u'78.5%', u'78.5%', u'-'
u'Mar 17', u'10:00 AM', u'NAHB Housing Market Index', u'Mar', u'47', u'50', u'50', u'46', u'-'
u'Mar 18', u'8:30 AM', u'Housing Starts', u'Feb', u'907K', u'875K', u'915K', u'909K', u'880K'
u'Mar 18', u'8:30 AM', u'Building Permits', u'Feb', u'1018K', u'945K', u'955K', u'945K', u'937K'
u'Mar 18', u'8:30 AM', u'CPI', u'Feb', u'0.1%', u'0.2%', u'0.2%', u'0.1%', u'-'
u'Mar 18', u'8:30 AM', None, u'Feb', u'0.1%', u'0.1%', u'0.1%', u'0.1%', u'-'
u'Mar 18', u'9:00 AM', u'Net Long-Term TIC Flows', u'Jan', u'$7.3B', u'NA', u'NA', u'-$45.9B', u'-'
u'Mar 19', u'7:00 AM', u'MBA Mortgage Index', u'03/15', u'-1.2%', u'NA', u'NA', u'-2.1%', u'-'
u'Mar 19', u'8:30 AM', u'Current Account Balance', u'Q4', u'-$81.1B', u'-$88.0B', u'-$87.6B', u'-$96.4B', u'-$94.8B'
u'Mar 19', u'10:30 AM', u'Crude Inventories', u'03/15', u'5.850M', u'NA', u'NA', u'6.180M', u'-'
u'Mar 19', u'2:00 PM', u'FOMC Rate Decision', u'Mar', u'0.25%', u'0.25%', u'0.25%', u'0.25%', u'-'
u'Mar 20', u'8:30 AM', u'Initial Claims', u'03/15', u'320K', u'330K', u'330K', u'315K', u'-'
u'Mar 20', u'8:30 AM', u'Continuing Claims', u'03/08', u'2889K', u'2900K', u'2883K', u'2848K', u'2855K'
u'Mar 20', u'10:00 AM', u'Existing Home Sales', u'Feb', u'4.60M', u'4.55M', u'4.60M', u'4.62M', u'-'
u'Mar 20', u'10:00 AM', u'Philadelphia Fed', u'Mar', u'9.0', u'2.0', u'2.0', u'-6.3', u'-'
u'Mar 20', u'10:00 AM', u'Leading Indicators', u'Feb', u'0.5%', u'0.2%', u'0.3%', u'0.1%', u'0.3%'
u'Mar 20', u'10:30 AM', u'Natural Gas Inventories', u'03/15', u'-48 bcf', u'NA', u'NA', u'-195 bcf', u'-'
u'Mar 25', u'9:00 AM', u'Case-Shiller 20-city Index', u'Jan', u'13.2%', u'13.5%', u'13.3%', u'13.4%', u'-'
u'Mar 25', u'9:00 AM', u'FHFA Housing Price Index', u'Jan', u'0.5%', u'NA', u'NA', u'0.7%', u'0.8%'
u'Mar 25', u'10:00 AM', u'Consumer Confidence', u'Mar', u'82.3', u'77.8', u'78.2', u'78.3', u'78.1'
u'Mar 25', u'10:00 AM', u'New Home Sales', u'Feb', u'440K', u'430K', u'445K', u'455K', u'468K'
u'Mar 26', u'7:00 AM', u'MBA Mortgage Index', u'03/22', u'-3.5%', u'NA', u'NA', u'-1.2%', u'-'
u'Mar 26', u'8:30 AM', u'Durable Orders', u'Feb', u'2.2%', u'1.0%', u'1.0%', u'-1.3%', u'-1.0%'
u'Mar 26', u'8:30 AM', u'Durable Goods -ex transportation', u'Feb', u'0.2%', u'0.3%', u'0.3%', u'0.9%', u'1.1%'
u'Mar 26', u'10:30 AM', u'Crude Inventories', u'03/22', u'6.619M', u'NA', u'NA', u'5.850M', u'-'
u'Mar 27', u'8:30 AM', u'Initial Claims', u'03/22', u'311K', u'330K', u'330K', u'321K', u'320K'
u'Mar 27', u'8:30 AM', u'Continuing Claims', u'03/15', u'2823K', u'2900K', u'2900K', u'2876K', u'2889K'
u'Mar 27', u'8:30 AM', None, u'Q4', u'2.6%', u'2.6%', u'2.6%', u'2.4%', u'-'
u'Mar 27', u'8:30 AM', None, u'Q4', u'1.6%', u'1.6%', u'1.6%', u'1.6%', u'-'
u'Mar 27', u'10:00 AM', u'Pending Home Sales', u'Feb', u'-0.8%', u'-0.2%', u'-0.2%', u'-0.2%', u'0.1%'
u'Mar 27', u'10:30 AM', u'Natural Gas Inventories', u'03/22', u'-57 bcf', u'NA', u'NA', u'-48 bcf', u'-'
u'Mar 28', u'8:30 AM', u'Personal Income', u'Feb', u'0.3%', u'0.0%', u'0.2%', u'0.3%', u'-'
u'Mar 28', u'8:30 AM', u'Personal Spending', u'Feb', u'0.3%', u'0.2%', u'0.3%', u'0.2%', u'0.4%'
u'Mar 28', u'8:30 AM', None, u'Feb', u'0.1%', u'0.1%', u'0.1%', u'0.1%', u'-'
u'Mar 28', u'9:55 AM', None, u'Mar', u'80.0', u'79.5', u'80.0', u'79.9', u'-'
u'Mar 31', u'9:45 AM', u'Chicago PMI', u'Mar', u'55.9', u'60.0', u'60.1', u'59.8', u'-'
u'Apr 1', u'10:00 AM', u'ISM Index', u'Mar', u'53.7', u'54.2', u'54.0', u'53.2', u'-'
u'Apr 1', u'10:00 AM', u'Construction Spending', u'Feb', u'0.1%', u'0.0%', u'0.1%', u'-0.2%', u'0.1%'
u'Apr 1', u'2:00 PM', u'Auto Sales', u'Mar', u'-', u'NA', u'NA', u'5.2M', u'-'
u'Apr 1', u'2:00 PM', u'Truck Sales', u'Mar', u'-', u'NA', u'NA', u'7.0M', u'-'
u'Apr 2', u'7:00 AM', u'MBA Mortgage Index', u'03/29', u'-1.2%', u'NA', u'NA', u'-3.5%', u'-'
u'Apr 2', u'8:15 AM', u'ADP Employment Change', u'Mar', u'191K', u'215K', u'215K', u'178K', u'139K'
u'Apr 2', u'10:00 AM', u'Factory Orders', u'Feb', u'1.6%', u'1.1%', u'1.1%', u'-1.0%', u'-0.7%'
u'Apr 2', u'10:30 AM', u'Crude Inventories', u'03/29', u'-2.379M', u'NA', u'NA', u'6.619M', u'-'
u'Apr 3', u'7:30 AM', u'Challenger Job Cuts', u'Mar', u'-30.2%', u'NA', u'NA', u'-24.4%', u'-'
u'Apr 3', u'8:30 AM', u'Initial Claims', u'03/29', u'326K', u'320K', u'320K', u'310K', u'311K'
u'Apr 3', u'8:30 AM', u'Continuing Claims', u'03/22', u'2836K', u'2850K', u'2850K', u'2814K', u'2823K'
u'Apr 3', u'8:30 AM', u'Trade Balance', u'Feb', u'-$42.3B', u'-$40.5B', u'-$39.3B', u'-$39.3B', u'-$39.1B'
u'Apr 3', u'10:00 AM', u'ISM Services', u'Mar', u'53.1', u'53.0', u'53.5', u'51.6', u'-'
u'Apr 3', u'10:30 AM', u'Natural Gas Inventories', u'03/29', u'-74 bcf', u'NA', u'NA', u'-57 bcf', u'-'
u'Apr 4', u'8:30 AM', u'Nonfarm Payrolls', u'Mar', u'192K', u'185K', u'195K', u'197K', u'175K'
u'Apr 4', u'8:30 AM', u'Nonfarm Private Payrolls', u'Mar', u'192K', u'195K', u'205K', u'188K', u'162K'
u'Apr 4', u'8:30 AM', u'Unemployment Rate', u'Mar', u'6.7%', u'6.6%', u'6.6%', u'6.7%', u'-'
u'Apr 4', u'8:30 AM', u'Hourly Earnings', u'Mar', u'0.0%', u'0.2%', u'0.2%', u'0.4%', u'-'
u'Apr 4', u'8:30 AM', u'Average Workweek', u'Mar', u'34.5', u'34.5', u'34.4', u'34.3', u'34.2'
u'Apr 7', u'3:00 PM', u'Consumer Credit', u'Feb', u'$16.5B', u'$13.5B', u'$14.3B', u'$13.8B', u'$13.7B'
u'Apr 8', u'10:00 AM', u'JOLTS - Job Openings', u'Feb', u'4.173M', u'NA', u'NA', u'3.874M', u'3.974M'
u'Apr 9', u'7:00 AM', u'MBA Mortgage Index', u'04/05', u'-1.6%', u'NA', u'NA', u'-1.2%', u'-'
u'Apr 9', u'10:00 AM', u'Wholesale Inventories', u'Feb', u'0.5%', u'0.6%', u'0.5%', u'0.8%', u'0.6%'
u'Apr 9', u'10:30 AM', u'Crude Inventories', u'04/05', u'4.030M', u'NA', u'NA', u'-2.379M', u'-'
u'Apr 9', u'2:00 PM', u'FOMC Minutes', u'3/19', u'-', u'-', u'-', u'-', u'-'
u'Apr 10', u'8:30 AM', u'Initial Claims', u'04/05', u'300K', u'325K', u'325K', u'332K', u'326K'
u'Apr 10', u'8:30 AM', u'Continuing Claims', u'03/29', u'2776K', u'2850K', u'2843K', u'2838K', u'2836K'
u'Apr 10', u'8:30 AM', None, u'Mar', u'0.5%', u'NA', u'NA', u'0.6%', u'-'
u'Apr 10', u'8:30 AM', None, u'Mar', u'0.3%', u'NA', u'NA', u'-0.1%', u'-0.2%'
u'Apr 10', u'10:30 AM', u'Natural Gas Inventories', u'04/05', u'4 bcf', u'NA', u'NA', u'-74 bcf', u'-'
u'Apr 10', u'2:00 PM', u'Treasury Budget', u'Mar', u'-$36.9B', u'-$36.0B', u'-$36.0B', u'-$106.5B', u'-'
u'Apr 11', u'8:30 AM', u'PPI', u'Mar', u'0.5%', u'0.1%', u'0.1%', u'-0.1%', u'-'
u'Apr 11', u'8:30 AM', None, u'Mar', u'0.6%', u'0.1%', u'0.1%', u'-0.2%', u'-'
u'Apr 11', u'9:55 AM', u'Mich Sentiment', u'Apr', u'82.6', u'81.0', u'81.0', u'80.0', u'-'
u'Apr 14', u'8:30 AM', u'Retail Sales', u'Mar', u'1.1%', u'1.2%', u'1.0%', u'0.7%', u'0.3%'
u'Apr 14', u'8:30 AM', None, u'Mar', u'0.7%', u'0.7%', u'0.5%', u'0.3%', u'-'
u'Apr 14', u'10:00 AM', u'Business Inventories', u'Feb', u'0.4%', u'0.6%', u'0.6%', u'0.4%', u'-'
u'Apr 15', u'8:30 AM', u'CPI', u'Mar', u'0.2%', u'0.1%', u'0.1%', u'0.1%', u'-'
u'Apr 15', u'8:30 AM', None, u'Mar', u'0.2%', u'0.1%', u'0.1%', u'0.1%', u'-'
u'Apr 15', u'8:30 AM', u'Empire Manufacturing', u'Apr', u'1.3', u'7.5', u'7.5', u'5.6', u'-'
u'Apr 15', u'9:00 AM', u'Net Long-Term TIC Flows', u'Feb', u'$85.7B', u'NA', u'NA', u'$7.7B', u'$7.3B'
u'Apr 15', u'10:00 AM', u'NAHB Housing Market Index', u'Apr', u'47', u'51', u'50', u'46', u'47'
u'Apr 16', u'7:00 AM', u'MBA Mortgage Index', u'04/12', u'4.3%', u'NA', u'NA', u'-1.6%', u'-'
u'Apr 16', u'8:30 AM', u'Housing Starts', u'Mar', u'946K', u'910K', u'955K', u'920K', u'907K'
u'Apr 16', u'8:30 AM', u'Building Permits', u'Mar', u'990K', u'980K', u'1003K', u'1014K', u'1018K'
u'Apr 16', u'9:15 AM', u'Industrial Production', u'Mar', u'0.7%', u'0.7%', u'0.5%', u'1.2%', u'0.6%'
u'Apr 16', u'9:15 AM', u'Capacity Utilization', u'Mar', u'79.2%', u'78.9%', u'78.8%', u'78.4%', u'78.4%'
u'Apr 16', u'10:30 AM', u'Crude Inventories', u'04/12', u'10.013M', u'NA', u'NA', u'4.030M', u'-'
u'Apr 16', u'2:00 PM', u"Fed's Beige Book", u'Apr', u'-', u'NA', u'NA', u'NA', u'-'
u'Apr 17', u'8:30 AM', u'Initial Claims', u'04/12', u'304K', u'320K', u'312K', u'302K', u'300K'
u'Apr 17', u'8:30 AM', u'Continuing Claims', u'04/05', u'2739K', u'2800K', u'2800K', u'2750K', u'2776K'
u'Apr 17', u'10:00 AM', u'Philadelphia Fed', u'Apr', u'16.6', u'9.0', u'8.6', u'9.0', u'-'
u'Apr 17', u'10:30 AM', u'Natural Gas Inventories', u'04/12', u'24 bcf', u'NA', u'NA', u'4 bcf', u'-'
u'Apr 21', u'10:00 AM', u'Leading Indicators', u'Mar', u'0.8%', u'0.7%', u'0.8%', u'0.5%', u'-'
u'Apr 22', u'9:00 AM', u'FHFA Housing Price Index', u'Feb', u'0.6%', u'NA', u'NA', u'0.4%', u'0.5%'
u'Apr 22', u'10:00 AM', u'Existing Home Sales', u'Mar', u'4.59M', u'4.55M', u'4.60M', u'4.60M', u'-'
u'Apr 23', u'7:00 AM', u'MBA Mortgage Index', u'04/19', u'-3.3%', u'NA', u'NA', u'4.3%', u'-'
u'Apr 23', u'10:00 AM', u'New Home Sales', u'Mar', u'384K', u'430K', u'455K', u'449K', u'440K'
u'Apr 23', u'10:30 AM', u'Crude Inventories', u'04/19', u'3.524M', u'NA', u'NA', u'10.013M', u'-'
u'Apr 24', u'8:30 AM', u'Initial Claims', u'04/19', u'329K', u'315K', u'312K', u'305K', u'304K'
u'Apr 24', u'8:30 AM', u'Continuing Claims', u'04/12', u'2680K', u'2750K', u'2750K', u'2741K', u'2739K'
u'Apr 24', u'8:30 AM', u'Durable Orders', u'Mar', u'2.6%', u'2.0%', u'2.0%', u'2.1%', u'2.2%'
u'Apr 24', u'8:30 AM', u'Durable Goods -ex transportation', u'Mar', u'2.0%', u'0.7%', u'0.5%', u'0.1%', u'0.2%'
u'Apr 24', u'10:30 AM', u'Natural Gas Inventories', u'04/19', u'49 bcf', u'NA', u'NA', u'24 bcf', u'-'
u'Apr 25', u'9:55 AM', None, u'Apr', u'84.1', u'81.5', u'82.6', u'82.6', u'-'
u'Apr 28', u'10:00 AM', u'Pending Home Sales', u'Mar', u'3.4%', u'0.0%', u'1.0%', u'-0.5%', u'-0.8%'
u'Apr 29', u'9:00 AM', u'Case-Shiller 20-city Index', u'Feb', u'12.9%', u'13.0%', u'13.0%', u'13.2%', u'-'
u'Apr 29', u'10:00 AM', u'Consumer Confidence', u'Apr', u'82.3', u'83.5', u'83.6', u'83.9', u'82.3'
u'Apr 30', u'7:00 AM', u'MBA Mortgage Index', u'04/26', u'-5.9%', u'NA', u'NA', u'-3.3%', u'-'
u'Apr 30', u'8:15 AM', u'ADP Employment Change', u'Apr', u'220K', u'215K', u'215K', u'209K', u'191K'
u'Apr 30', u'8:30 AM', None, u'Q1', u'0.1%', u'-0.7%', u'1.0%', u'2.6%', u'-'
u'Apr 30', u'8:30 AM', u'Chain Deflator-Adv.', u'Q1', u'1.3%', u'2.2%', u'1.8%', u'1.6%', u'-'
u'Apr 30', u'8:30 AM', u'Employment Cost Index', u'Q1', u'0.3%', u'1.5%', u'0.5%', u'0.5%', u'-'
u'Apr 30', u'9:45 AM', u'Chicago PMI', u'Apr', u'63.0', u'56.5', u'56.5', u'55.9', u'-'
u'Apr 30', u'10:30 AM', u'Crude Inventories', u'04/26', u'1.698M', u'NA', u'NA', u'3.524M', u'-'
u'Apr 30', u'2:00 PM', u'FOMC Rate Decision', u'Apr', u'0.25%', u'0.25%', u'0.25%', u'0.25%', u'-'
u'May 1', u'7:30 AM', u'Challenger Job Cuts', u'Apr', u'5.7%', u'NA', u'NA', u'-30.2%', u'-'
u'May 1', u'8:30 AM', u'Initial Claims', u'04/26', u'344K', u'325K', u'315K', u'330K', u'329K'
u'May 1', u'8:30 AM', u'Continuing Claims', u'04/19', u'2771K', u'2725K', u'2725K', u'2674K', u'2680K'
u'May 1', u'8:30 AM', u'Personal Income', u'Mar', u'0.5%', u'0.5%', u'0.4%', u'0.4%', u'0.3%'
u'May 1', u'8:30 AM', u'Personal Spending', u'Mar', u'0.9%', u'0.7%', u'0.6%', u'0.5%', u'0.3%'
u'May 1', u'8:30 AM', None, u'Mar', u'0.2%', u'0.2%', u'0.2%', u'0.1%', u'-'
u'May 1', u'10:00 AM', u'ISM Index', u'Apr', u'54.9', u'54.2', u'54.5', u'53.7', u'-'
u'May 1', u'10:00 AM', u'Construction Spending', u'Mar', u'0.2%', u'0.3%', u'0.4%', u'-0.2%', u'0.1%'
u'May 1', u'10:30 AM', u'Natural Gas Inventories', u'04/26', u'82 bcf', u'NA', u'NA', u'49 bcf', u'-'
u'May 1', u'2:00 PM', u'Auto Sales', u'Apr', u'-', u'NA', u'NA', u'5.5M', u'-'
u'May 1', u'2:00 PM', u'Truck Sales', u'Apr', u'-', u'NA', u'NA', u'7.6M', u'-'
u'May 2', u'8:30 AM', u'Nonfarm Payrolls', u'Apr', u'288K', u'200K', u'210K', u'203K', u'192K'
u'May 2', u'8:30 AM', u'Nonfarm Private Payrolls', u'Apr', u'273K', u'205K', u'205K', u'202K', u'192K'
u'May 2', u'8:30 AM', u'Unemployment Rate', u'Apr', u'6.3%', u'6.6%', u'6.6%', u'6.7%', u'-'
u'May 2', u'8:30 AM', u'Hourly Earnings', u'Apr', u'0.0%', u'0.2%', u'0.2%', u'0.1%', u'0.0%'
u'May 2', u'8:30 AM', u'Average Workweek', u'Apr', u'34.5', u'34.5', u'34.5', u'34.5', u'-'
u'May 2', u'10:00 AM', u'Factory Orders', u'Mar', u'1.1%', u'1.5%', u'1.6%', u'1.5%', u'1.6%'
u'May 5', u'10:00 AM', u'ISM Services', u'Apr', u'55.2', u'54.0', u'54.0', u'53.1', u'-'
u'May 6', u'8:30 AM', u'Trade Balance', u'Mar', u'-$40.4B', u'-$42.5B', u'-$40.6B', u'-$41.9B', u'-$42.3B'
u'May 7', u'7:00 AM', u'MBA Mortgage Index', u'05/03', u'5.3%', u'NA', u'NA', u'-5.9%', u'-'
u'May 7', u'8:30 AM', None, u'Q1', u'-1.7%', u'-1.2%', u'-1.2%', u'2.3%', u'1.8%'
u'May 7', u'8:30 AM', u'Unit Labor Costs', u'Q1', u'4.2%', u'2.5%', u'2.5%', u'-0.4%', u'-0.1%'
u'May 7', u'10:30 AM', u'Crude Inventories', u'05/03', u'-1.781M', u'NA', u'NA', u'1.698M', u'-'
u'May 7', u'3:00 PM', u'Consumer Credit', u'Mar', u'$17.5B', u'$16.0B', u'$16.1B', u'$13.0', u'$16.5B'
u'May 8', u'8:30 AM', u'Initial Claims', u'05/03', u'319K', u'325K', u'325K', u'345K', u'344K'
u'May 8', u'8:30 AM', u'Continuing Claims', u'04/26', u'2685K', u'2750K', u'2750K', u'2761K', u'2771K'
u'May 8', u'10:30 AM', u'Natural Gas Inventories', u'05/03', u'74 bcf', u'NA', u'NA', u'82 bcf', u'-'
u'May 9', u'10:00 AM', u'Wholesale Inventories', u'Mar', u'1.1%', u'1.1%', u'1.0%', u'0.7%', u'0.5%'
u'May 9', u'10:00 AM', u'JOLTS - Job Openings', u'Mar', u'4.014M', u'NA', u'NA', u'4.125M', u'4.173M'
u'May 12', u'2:00 PM', u'Treasury Budget', u'Apr', u'+106.9B', u'+$114.0B', u'+$114.0B', u'+$112.9B', u'-'
u'May 13', u'8:30 AM', u'Retail Sales', u'Apr', u'0.1%', u'0.0%', u'0.3%', u'1.5%', u'1.2%'
u'May 13', u'8:30 AM', None, u'Apr', u'0.0%', u'0.2%', u'0.6%', u'1.0%', u'0.7%'
u'May 13', u'8:30 AM', None, u'Apr', u'-1.2%', u'NA', u'NA', u'0.8%', u'0.5%'
u'May 13', u'8:30 AM', None, u'Apr', u'0.0%', u'NA', u'NA', u'0.3%', u'-'
u'May 13', u'10:00 AM', u'Business Inventories', u'Mar', u'0.4%', u'0.4%', u'0.4%', u'0.5%', u'0.4%'
u'May 14', u'7:00 AM', u'MBA Mortgage Index', u'05/10', u'3.6%', u'NA', u'NA', u'5.3%', u'-'
u'May 14', u'8:30 AM', u'PPI', u'Apr', u'0.6%', u'0.2%', u'0.2%', u'0.5%', u'-'
